DATE,OPEN,HIGH,LOW,CLOSE
01/02/2003,9.060000,9.060000,9.060000,9.060000
01/03/2003,8.690000,8.690000,8.690000,8.690000
01/06/2003,8.710000,8.710000,8.710000,8.710000
01/07/2003,8.150000,8.150000,8.150000,8.150000
01/08/2003,7.850000,7.850000,7.850000,7.850000
01/09/2003,8.190000,8.190000,8.190000,8.190000
01/10/2003,8.000000,8.000000,8.000000,8.000000
01/13/2003,8.060000,8.060000,8.060000,8.060000
01/14/2003,7.790000,7.790000,7.790000,7.790000
01/15/2003,7.710000,7.710000,7.710000,7.710000
01/16/2003,7.770000,7.770000,7.770000,7.770000
01/17/2003,7.570000,7.570000,7.570000,7.570000
01/21/2003,7.690000,7.690000,7.690000,7.690000
01/22/2003,7.310000,7.310000,7.310000,7.310000
01/23/2003,7.480000,7.480000,7.480000,7.480000
01/24/2003,7.640000,7.640000,7.640000,7.640000
01/27/2003,8.410000,8.410000,8.410000,8.410000
01/28/2003,8.400000,8.400000,8.400000,8.400000
01/29/2003,8.290000,8.290000,8.290000,8.290000
01/30/2003,8.450000,8.450000,8.450000,8.450000
01/31/2003,7.950000,7.950000,7.950000,7.950000
02/03/2003,8.380000,8.380000,8.380000,8.380000
02/04/2003,8.320000,8.320000,8.320000,8.320000
02/05/2003,8.470000,8.470000,8.470000,8.470000
02/06/2003,8.290000,8.290000,8.290000,8.290000
02/07/2003,8.300000,8.300000,8.300000,8.300000
02/10/2003,8.610000,8.610000,8.610000,8.610000
02/11/2003,8.310000,8.310000,8.310000,8.310000
02/12/2003,8.360000,8.360000,8.360000,8.360000
02/13/2003,8.790000,8.790000,8.790000,8.790000
02/14/2003,8.890000,8.890000,8.890000,8.890000
02/18/2003,8.830000,8.830000,8.830000,8.830000
02/19/2003,8.530000,8.530000,8.530000,8.530000
02/20/2003,8.570000,8.570000,8.570000,8.570000
02/21/2003,8.230000,8.230000,8.230000,8.230000
02/24/2003,8.080000,8.080000,8.080000,8.080000
02/25/2003,8.010000,8.010000,8.010000,8.010000
02/26/2003,8.050000,8.050000,8.050000,8.050000
02/27/2003,8.050000,8.050000,8.050000,8.050000
02/28/2003,8.260000,8.260000,8.260000,8.260000
03/03/2003,8.010000,8.010000,8.010000,8.010000
03/04/2003,8.000000,8.000000,8.000000,8.000000
03/05/2003,7.940000,7.940000,7.940000,7.940000
03/06/2003,8.000000,8.000000,8.000000,8.000000
03/07/2003,8.050000,8.050000,8.050000,8.050000
03/10/2003,8.340000,8.340000,8.340000,8.340000
03/11/2003,8.060000,8.060000,8.060000,8.060000
03/12/2003,8.100000,8.100000,8.100000,8.100000
03/13/2003,8.400000,8.400000,8.400000,8.400000
03/14/2003,8.270000,8.270000,8.270000,8.270000
03/17/2003,8.810000,8.810000,8.810000,8.810000
03/18/2003,9.030000,9.030000,9.030000,9.030000
03/19/2003,9.930000,9.930000,9.930000,9.930000
03/20/2003,9.680000,9.680000,9.680000,9.680000
03/21/2003,9.680000,9.680000,9.680000,9.680000
03/24/2003,8.820000,8.820000,8.820000,8.820000
03/25/2003,8.480000,8.480000,8.480000,8.480000
03/26/2003,8.290000,8.290000,8.290000,8.290000
03/27/2003,8.130000,8.130000,8.130000,8.130000
03/28/2003,7.840000,7.840000,7.840000,7.840000
03/31/2003,7.980000,7.980000,7.980000,7.980000
04/01/2003,7.850000,7.850000,7.850000,7.850000
04/02/2003,8.240000,8.240000,8.240000,8.240000
04/03/2003,8.390000,8.390000,8.390000,8.390000
04/04/2003,8.040000,8.040000,8.040000,8.040000
04/07/2003,8.290000,8.290000,8.290000,8.290000
04/08/2003,7.790000,7.790000,7.790000,7.790000
04/09/2003,7.510000,7.510000,7.510000,7.510000
04/10/2003,7.500000,7.500000,7.500000,7.500000
04/11/2003,7.440000,7.440000,7.440000,7.440000
04/14/2003,7.620000,7.620000,7.620000,7.620000
04/15/2003,7.180000,7.180000,7.180000,7.180000
04/16/2003,6.920000,6.920000,6.920000,6.920000
04/17/2003,6.940000,6.940000,6.940000,6.940000
04/21/2003,7.200000,7.200000,7.200000,7.200000
04/22/2003,7.090000,7.090000,7.090000,7.090000
04/23/2003,6.930000,6.930000,6.930000,6.930000
04/24/2003,6.860000,6.860000,6.860000,6.860000
04/25/2003,6.620000,6.620000,6.620000,6.620000
04/28/2003,6.720000,6.720000,6.720000,6.720000
04/29/2003,6.810000,6.810000,6.810000,6.810000
04/30/2003,6.790000,6.790000,6.790000,6.790000
05/01/2003,6.660000,6.660000,6.660000,6.660000
05/02/2003,6.670000,6.670000,6.670000,6.670000
05/05/2003,6.700000,6.700000,6.700000,6.700000
05/06/2003,6.620000,6.620000,6.620000,6.620000
05/07/2003,6.410000,6.410000,6.410000,6.410000
05/08/2003,6.330000,6.330000,6.330000,6.330000
05/09/2003,6.180000,6.180000,6.180000,6.180000
05/12/2003,6.660000,6.660000,6.660000,6.660000
05/13/2003,6.540000,6.540000,6.540000,6.540000
05/14/2003,6.620000,6.620000,6.620000,6.620000
05/15/2003,6.700000,6.700000,6.700000,6.700000
05/16/2003,6.790000,6.790000,6.790000,6.790000
05/19/2003,7.220000,7.220000,7.220000,7.220000
05/20/2003,7.880000,7.880000,7.880000,7.880000
05/21/2003,7.890000,7.890000,7.890000,7.890000
05/22/2003,7.290000,7.290000,7.290000,7.290000
05/23/2003,7.160000,7.160000,7.160000,7.160000
05/27/2003,7.380000,7.380000,7.380000,7.380000
05/28/2003,7.330000,7.330000,7.330000,7.330000
05/29/2003,7.110000,7.110000,7.110000,7.110000
05/30/2003,7.510000,7.510000,7.510000,7.510000
06/02/2003,7.600000,7.600000,7.600000,7.600000
06/03/2003,7.510000,7.510000,7.510000,7.510000
06/04/2003,7.650000,7.650000,7.650000,7.650000
06/05/2003,8.030000,8.030000,8.030000,8.030000
06/06/2003,7.510000,7.510000,7.510000,7.510000
06/09/2003,7.640000,7.640000,7.640000,7.640000
06/10/2003,7.820000,7.820000,7.820000,7.820000
06/11/2003,8.030000,8.030000,8.030000,8.030000
06/12/2003,7.540000,7.540000,7.540000,7.540000
06/13/2003,7.690000,7.690000,7.690000,7.690000
06/16/2003,8.290000,8.290000,8.290000,8.290000
06/17/2003,8.270000,8.270000,8.270000,8.270000
06/18/2003,8.730000,8.730000,8.730000,8.730000
06/19/2003,8.810000,8.810000,8.810000,8.810000
06/20/2003,8.170000,8.170000,8.170000,8.170000
06/23/2003,8.220000,8.220000,8.220000,8.220000
06/24/2003,8.050000,8.050000,8.050000,8.050000
06/25/2003,7.970000,7.970000,7.970000,7.970000
06/26/2003,7.700000,7.700000,7.700000,7.700000
06/27/2003,7.780000,7.780000,7.780000,7.780000
06/30/2003,7.580000,7.580000,7.580000,7.580000
07/01/2003,7.300000,7.300000,7.300000,7.300000
07/02/2003,7.450000,7.450000,7.450000,7.450000
07/03/2003,7.850000,7.850000,7.850000,7.850000
07/07/2003,7.680000,7.680000,7.680000,7.680000
07/08/2003,7.660000,7.660000,7.660000,7.660000
07/09/2003,7.640000,7.640000,7.640000,7.640000
07/10/2003,7.650000,7.650000,7.650000,7.650000
07/11/2003,7.290000,7.290000,7.290000,7.290000
07/14/2003,7.760000,7.760000,7.760000,7.760000
07/15/2003,8.050000,8.050000,8.050000,8.050000
07/16/2003,8.080000,8.080000,8.080000,8.080000
07/17/2003,8.140000,8.140000,8.140000,8.140000
07/18/2003,7.750000,7.750000,7.750000,7.750000
07/21/2003,8.920000,8.920000,8.920000,8.920000
07/22/2003,9.290000,9.290000,9.290000,9.290000
07/23/2003,8.880000,8.880000,8.880000,8.880000
07/24/2003,8.980000,8.980000,8.980000,8.980000
07/25/2003,9.020000,9.020000,9.020000,9.020000
07/28/2003,10.140000,10.140000,10.140000,10.140000
07/29/2003,11.020000,11.020000,11.020000,11.020000
07/30/2003,11.260000,11.260000,11.260000,11.260000
07/31/2003,12.440000,12.440000,12.440000,12.440000
08/01/2003,11.590000,11.590000,11.590000,11.590000
08/04/2003,11.440000,11.440000,11.440000,11.440000
08/05/2003,11.120000,11.120000,11.120000,11.120000
08/06/2003,10.800000,10.800000,10.800000,10.800000
08/07/2003,9.750000,9.750000,9.750000,9.750000
08/08/2003,9.900000,9.900000,9.900000,9.900000
08/11/2003,10.840000,10.840000,10.840000,10.840000
08/12/2003,10.390000,10.390000,10.390000,10.390000
08/13/2003,11.750000,11.750000,11.750000,11.750000
08/14/2003,12.230000,12.230000,12.230000,12.230000
08/15/2003,11.640000,11.640000,11.640000,11.640000
08/18/2003,11.470000,11.470000,11.470000,11.470000
08/19/2003,11.030000,11.030000,11.030000,11.030000
08/20/2003,11.910000,11.910000,11.910000,11.910000
08/21/2003,12.770000,12.770000,12.770000,12.770000
08/22/2003,11.990000,11.990000,11.990000,11.990000
08/25/2003,12.210000,12.210000,12.210000,12.210000
08/26/2003,11.510000,11.510000,11.510000,11.510000
08/27/2003,11.240000,11.240000,11.240000,11.240000
08/28/2003,10.750000,10.750000,10.750000,10.750000
08/29/2003,10.270000,10.270000,10.270000,10.270000
09/02/2003,11.530000,11.530000,11.530000,11.530000
09/03/2003,11.040000,11.040000,11.040000,11.040000
09/04/2003,10.630000,10.630000,10.630000,10.630000
09/05/2003,10.060000,10.060000,10.060000,10.060000
09/08/2003,10.230000,10.230000,10.230000,10.230000
09/09/2003,10.650000,10.650000,10.650000,10.650000
09/10/2003,9.590000,9.590000,9.590000,9.590000
09/11/2003,9.990000,9.990000,9.990000,9.990000
